City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
169,Teruel,40.6667,-0.6667,46.36,84,98,11.81,ES,overcast clouds
170,Touros,-5.1989,-35.4608,88.7,62,29,12.77,BR,scattered clouds
171,La Esperanza,14.8667,-91.5667,68.72,68,40,0.0,GT,scattered clouds
172,Gweta,-20.1833,25.2333,93.94,15,78,5.39,BW,broken clouds
173,Cayenne,4.9333,-52.3333,89.64,75,0,5.01,GF,clear sky
174,Usinsk,65.9939,57.5281,34.02,100,100,19.28,RU,light rain
175,Itaguai,-22.8522,-43.7753,80.22,73,40,9.22,BR,scattered clouds
176,Yingkou,40.6648,122.2283,54.14,75,0,10.87,CN,clear sky
177,Masvingo,-20.0637,30.8277,77.59,45,31,10.83,ZW,scattered clouds
178,Igarka,67.4667,86.5833,26.53,93,100,20.56,RU,overcast clouds
179,Mayya,61.7333,130.2811,7.92,96,100,3.69,RU,overcast clouds
180,Torbay,47.6666,-52.7314,48.76,73,40,25.32,CA,scattered clouds
181,Abu Samrah,35.3029,37.1841,68.13,47,4,2.64,SY,clear sky
182,Shah Alam,3.0851,101.5328,78.51,93,20,0.0,MY,few clouds
183,Crossville,35.949,-85.0269,48.83,68,100,1.5,US,overcast clouds
184,Khelyulya,61.7333,30.6833,45.41,94,99,8.39,RU,overcast clouds
185,Marawi,7.9986,124.2928,67.64,93,93,2.91,PH,overcast clouds
186,Burgeo,47.6167,-57.6152,45.64,58,39,18.99,CA,scattered clouds
187,Tura,25.5198,90.2201,63.19,84,87,3.29,IN,overcast clouds
188,Sobradinho,-12.8333,-39.1,78.22,80,89,4.25,BR,light rain
189,Vila Franca Do Campo,37.7167,-25.4333,70.2,80,100,15.35,PT,overcast clouds
190,San Quintin,30.4833,-115.95,69.93,66,14,7.58,MX,few clouds
191,Mozarlandia,-14.7447,-50.5706,87.46,51,75,4.65,BR,broken clouds
192,College,64.8569,-147.8028,21.97,92,40,0.0,US,scattered clouds
193,Ahipara,-35.1667,173.1667,57.18,95,100,5.82,NZ,light rain
194,Kathmandu,27.7167,85.3167,55.62,88,20,0.0,NP,few clouds
195,Sitka,57.0531,-135.33,41.68,73,100,4.29,US,overcast clouds
196,Hovd,48.0056,91.6419,8.6,54,11,3.38,MN,few clouds
197,Lagoa,39.05,-27.9833,67.3,84,99,24.79,PT,overcast clouds
198,Namibe,-15.1961,12.1522,66.79,82,76,6.51,AO,broken clouds
199,Sur,22.5667,59.5289,76.35,63,6,5.99,OM,clear sky
200,Basoko,1.2391,23.616,73.51,92,86,2.13,CD,light rain
201,Northam,51.0333,-4.2167,48.38,72,70,14.81,GB,broken clouds
202,Cap Malheureux,-19.9842,57.6142,73.89,75,1,3.0,MU,clear sky
203,Leh,34.1667,77.5833,23.31,61,74,3.31,IN,broken clouds
204,Morondava,-20.2833,44.2833,78.62,80,0,21.0,MG,clear sky
205,Isangel,-19.55,169.2667,73.81,87,98,13.2,VU,overcast clouds
206,Batouri,4.4333,14.3667,70.74,94,71,3.09,CM,light rain
207,Algiers,36.7525,3.042,55.22,77,75,5.75,DZ,broken clouds
208,Rundu,-17.9333,19.7667,87.19,25,84,11.16,NA,broken clouds
209,Castrillon,43.3979,-6.7922,46.94,96,86,2.3,ES,light rain
210,Pacific Grove,36.6177,-121.9166,64.62,89,90,1.01,US,overcast clouds
211,Caluquembe,-13.7833,14.6833,67.5,65,99,3.02,AO,overcast clouds
212,Sao Sepe,-30.1606,-53.5653,85.95,48,7,6.71,BR,clear sky
213,Saint George,37.1041,-113.5841,75.67,39,0,1.01,US,clear sky
214,Palpa,-14.5336,-75.1856,85.12,31,76,11.79,PE,broken clouds
215,Makakilo City,21.3469,-158.0858,75.69,88,75,3.44,US,broken clouds
216,Acapulco,16.8634,-99.8901,83.19,73,95,3.51,MX,overcast clouds
217,Klaksvik,62.2266,-6.589,43.72,78,95,20.45,FO,overcast clouds
218,Beisfjord,68.3751,17.5988,42.04,87,87,8.05,NO,overcast clouds
219,Morro Bay,35.3658,-120.8499,75.2,80,0,1.01,US,clear sky
220,Brae,60.3964,-1.353,46.31,83,99,14.83,GB,overcast clouds
221,Lebu,-37.6167,-73.65,55.29,52,2,18.5,CL,clear sky
222,Vyazemskiy,47.5378,134.7525,35.6,87,33,1.92,RU,scattered clouds
223,Victoria,22.2855,114.1577,78.85,85,41,7.0,HK,scattered clouds
224,Shetpe,44.1667,52.1167,40.26,27,100,18.88,KZ,overcast clouds
225,Trofors,65.5333,13.4063,42.26,94,98,5.39,NO,overcast clouds
226,Saiki,32.95,131.9,57.78,75,40,9.51,JP,scattered clouds
227,Lac-Au-Saumon,48.421,-67.3476,37.8,48,53,7.36,CA,broken clouds
228,Chokurdakh,70.6333,147.9167,-11.11,97,91,7.16,RU,overcast clouds
229,Puerto Colombia,10.9878,-74.9547,87.89,73,45,4.92,CO,scattered clouds
230,Miraflores,19.2167,-98.8083,67.03,31,55,4.83,MX,broken clouds
231,Alice Town,25.7167,-79.3,78.76,69,100,8.21,BS,overcast clouds
232,Luwero,0.8492,32.4731,61.9,95,100,1.77,UG,overcast clouds
